  அதே போல இந்தோஐரோப்பிய என்பது வடமொழி இயல்பு ,declarative
  ராமன் இயக்கத்தில் வெளிவந்த இத்திரைப்படத்தில்  ராமசாமி மற்றும் பலரும் நடித்துள்ளனர் ,declarative
 நீங்கள் சூடான ஆடைகளை பேக் செய்யுங்கள்,imperative
  இது நாட்டின் இரண்டாவது பெரிய நகரம் ஆகும் ,exclamatory
  தங்களின் ஹொங்கொங் கட்டுரை விரிவாக்கம் நன்றாக அமைந்துள்ளது ,exclamatory
  கிருஷ்ணன் இயக்கத்தில் வெளிவந்த இத்திரைப்படத்தில் டி ,nota
  சங்கர் இயக்கத்தில் வெளிவந்த இத்திரைப்படத்தில் சிவாஜி கணேசன் ஸ்ரீபிரியா மற்றும் பலரும் நடித்துள்ளனர் ,declarative
 உங்களிடம் எவ்வளவு நல்ல கார் இருக்கிறது!,exclamatory
  ஏனைய கட்டுரைகளைப் போன்ற நடை பொருத்தமானது ,declarative
  வட அமெரிக்க விலங்குகள் குறித்த கட்டுரையைத் தொடங்குங்கள் ,imperative
 !,exclamatory
  யாழ்ப்பாணத்தில் இருந்து வெளிவரும் ஒரு உளவியல் சஞ்சிகை ,declarative
  ஆனால் விக்கிபீடியா சற்று வேறுபட்ட கலைக்களஞ்சியம் ,declarative
